"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"CONC",1964,1200,298.57,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",5,1,2,298.572445222067
"CONC",1914,2550,103.06,"3","3","2017","CCTV Footage Review Log South_Latest.xls","no",1,1,5,103.06210285946
"CONC",1964,1200,59.47,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,3,2,59.4746181859421
"CONC",1964,1200,46.23,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,3,2,46.2309553495052
"CONC",1977,2550,372.42,"2","None","None","None","no",1,3,2,372.416138740247
"CONC",1964,1200,930.3,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,930.304300067954
"CONC",1964,1200,101.98,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,1,2,101.984149896341
"CONC",1964,1200,106.28,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,1,2,106.279780099671
"CONC",1964,2100,175.55,"3","3","2010","te puna wai","no",1,1,2,175.545691025853
"CONC",1964,1200,34.51,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,34.5062425082027
"CONC",1964,1200,121.32,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,121.324562283693
"CONC",2014,1050,85.76,"2","None","None","None","no",5,3,1,85.7643313392529
"CONC",2004,1290,176.35,"3","3","2016","te puna wai","no",5,1,1,176.345971749476
"CONC",2004,1290,232.14,"2","2","2016","te puna wai","no",1,1,1,232.141935995454
"CONC",1962,1050,932.48,"3","2","2016","te puna wai","yes",5,3,3,932.478288960037
"CONC",1965,1050,556.59,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,556.58712686881
"CONC",1964,1050,24.72,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,1,2,24.7216026417267
"CONC",1964,1050,49.35,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",5,1,2,49.3512270035762
